"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 04, 2017","171.02","170.18","171.60","169.90","48.00K","0.73%"
"Apr 03, 2017","169.78","168.60","170.10","168.38","43.11K","0.72%"
"Mar 31, 2017","168.56","168.82","169.02","168.16","43.54K","-0.11%"
"Mar 30, 2017","168.74","168.32","169.08","168.06","36.37K","0.20%"
"Mar 29, 2017","168.40","166.90","169.02","166.66","54.12K","0.42%"
"Mar 28, 2017","167.70","167.10","168.14","166.84","37.57K","0.20%"
"Mar 27, 2017","167.36","167.78","169.50","167.18","48.58K","0.18%"
"Mar 24, 2017","167.06","166.44","167.48","165.90","33.82K","0.34%"
"Mar 23, 2017","166.50","167.22","167.92","166.10","49.39K","-0.53%"
"Mar 22, 2017","167.38","165.88","167.70","165.82","52.84K","1.06%"
"Mar 21, 2017","165.62","165.60","166.22","164.28","51.10K","-0.07%"
"Mar 20, 2017","165.74","166.50","166.50","164.88","38.64K","-0.26%"
"Mar 17, 2017","166.18","164.86","166.32","164.46","44.70K","0.50%"
"Mar 16, 2017","165.36","166.94","167.44","164.12","50.69K","-0.58%"
"Mar 15, 2017","166.32","165.32","167.22","164.94","53.02K","0.65%"
"Mar 14, 2017","165.24","163.24","165.56","162.80","55.32K","0.68%"
"Mar 13, 2017","164.12","163.16","165.12","163.04","44.80K","0.71%"
"Mar 10, 2017","162.96","163.20","163.82","162.22","64.09K","-0.76%"
"Mar 09, 2017","164.20","165.70","165.90","163.14","57.13K","-2.27%"
"Mar 08, 2017","168.02","168.68","168.70","167.56","7.87K","-0.49%"
"Mar 07, 2017","168.84","168.68","169.52","168.22","38.60K","0.15%"
"Mar 06, 2017","168.58","169.06","170.16","168.28","114.37K","0.08%"
"Mar 03, 2017","168.44","169.80","170.14","168.08","137.49K","-0.67%"
"Mar 02, 2017","169.58","170.52","170.54","169.06","95.39K","-0.62%"
"Mar 01, 2017","170.64","172.86","173.08","170.30","97.35K","-1.72%"
"Feb 28, 2017","173.62","174.24","174.54","172.80","68.78K","-0.34%"
"Feb 27, 2017","174.22","174.74","175.04","173.60","43.75K","-0.30%"
"Feb 24, 2017","174.74","172.90","175.44","172.60","62.31K","1.12%"
"Feb 23, 2017","172.80","171.22","173.04","170.52","58.01K","1.31%"
"Feb 22, 2017","170.56","168.90","171.94","168.56","80.86K","0.94%"
"Feb 21, 2017","168.98","169.68","169.68","168.04","54.32K","-0.40%"
"Feb 20, 2017","169.66","169.66","170.24","168.94","33.30K","-0.15%"
"Feb 17, 2017","169.92","168.26","170.62","167.80","45.42K","0.99%"
"Feb 16, 2017","168.26","166.66","168.56","166.44","52.04K","1.23%"
"Feb 15, 2017","166.22","167.42","167.50","165.86","45.62K","-0.61%"
"Feb 14, 2017","167.24","168.98","169.36","166.86","44.55K","-0.70%"
"Feb 13, 2017","168.42","168.80","169.04","167.96","36.68K","-0.27%"
"Feb 10, 2017","168.88","169.68","169.90","168.70","40.81K","-0.88%"
"Feb 09, 2017","170.38","169.94","171.04","169.30","55.20K","0.38%"
"Feb 08, 2017","169.74","167.80","170.60","167.56","68.50K","1.42%"
"Feb 07, 2017","167.36","168.50","169.00","166.52","70.21K","-0.17%"
"Feb 06, 2017","167.64","166.64","168.94","166.20","55.77K","0.59%"
"Feb 03, 2017","166.66","166.50","167.20","165.76","38.87K","-0.20%"
"Feb 02, 2017","167.00","165.98","167.54","164.92","44.82K","1.07%"
"Feb 01, 2017","165.24","166.56","166.84","164.96","48.43K","-1.17%"
"Jan 31, 2017","167.20","166.96","167.54","165.42","70.91K","0.24%"
"Jan 30, 2017","166.80","166.72","167.26","164.86","52.40K","0.29%"
"Jan 27, 2017","166.32","165.20","166.78","164.92","42.28K","0.98%"
"Jan 26, 2017","164.70","164.72","165.90","164.14","51.60K","-0.30%"
"Jan 25, 2017","165.20","166.60","166.74","164.48","67.79K","-1.28%"
"Jan 24, 2017","167.34","167.76","168.18","166.60","46.05K","-0.36%"
"Jan 23, 2017","167.94","166.74","168.54","165.74","42.99K","1.46%"
"Jan 20, 2017","165.52","168.18","168.58","165.34","44.51K","-1.43%"
"Jan 19, 2017","167.92","168.06","168.62","167.18","50.26K","-0.79%"
"Jan 18, 2017","169.26","170.10","170.22","168.32","41.34K","-0.67%"
"Jan 17, 2017","170.40","169.90","171.90","169.84","47.83K","0.52%"
"Jan 16, 2017","169.52","170.08","170.78","168.86","30.01K","0.20%"
"Jan 13, 2017","169.18","169.70","171.18","168.26","51.41K","-1.11%"
"Jan 12, 2017","171.08","171.76","173.30","169.74","65.42K","0.16%"
"Jan 11, 2017","170.80","170.14","172.06","169.76","43.18K","0.52%"
"Jan 10, 2017","169.92","170.00","170.64","169.26","38.85K","0.21%"
"Jan 09, 2017","169.56","169.40","170.74","168.34","40.74K","-0.15%"
"Jan 06, 2017","169.82","171.78","172.38","169.34","38.92K","-1.16%"
"Jan 05, 2017","171.82","171.00","172.34","169.16","64.75K","1.00%"
"Jan 04, 2017","170.12","171.58","171.86","169.88","48.52K","-0.42%"
"Jan 03, 2017","170.84","173.70","174.12","170.06","59.53K","-1.75%"
"Jan 02, 2017","173.88","173.10","175.18","173.10","12.24K","0.21%"
"Dec 30, 2016","173.52","175.58","175.62","173.22","20.37K","-1.42%"
"Dec 29, 2016","176.02","175.74","176.22","175.12","12.97K","0.86%"
"Dec 28, 2016","174.52","175.34","175.74","174.00","12.92K","-0.41%"
"Dec 27, 2016","175.24","174.20","176.04","173.86","11.59K","0.54%"
"Dec 23, 2016","174.30","172.84","174.66","172.66","11.86K","0.98%"
"Dec 22, 2016","172.60","173.60","173.82","171.94","19.69K","-0.33%"
"Dec 21, 2016","173.18","172.32","173.44","171.92","19.43K","0.71%"
"Dec 20, 2016","171.96","172.26","172.90","171.32","23.25K","-0.15%"
"Dec 19, 2016","172.22","169.22","173.28","168.64","32.56K","1.77%"
"Dec 16, 2016","169.22","168.10","170.46","167.86","36.78K","1.39%"
"Dec 15, 2016","166.90","167.02","168.48","165.28","50.60K","-1.25%"
"Dec 14, 2016","169.02","167.06","169.44","166.92","49.59K","1.48%"
"Dec 13, 2016","166.56","165.24","167.30","164.50","49.82K","1.36%"
"Dec 12, 2016","164.32","165.18","165.22","163.28","53.77K","-1.46%"
"Dec 09, 2016","166.76","166.50","168.46","165.28","70.08K","-2.58%"
"Dec 08, 2016","171.18","172.20","172.28","171.18","3.52K","-0.78%"
"Dec 07, 2016","172.52","170.98","173.20","170.98","38.56K","0.30%"
"Dec 06, 2016","172.00","173.18","174.08","171.16","140.47K","-0.74%"
"Dec 05, 2016","173.28","175.96","176.14","171.94","99.16K","-0.89%"
"Dec 02, 2016","174.84","172.20","175.64","171.70","79.12K","1.23%"
"Dec 01, 2016","172.72","174.64","174.94","170.82","93.09K","-1.51%"
"Nov 30, 2016","175.36","177.94","178.64","174.48","79.19K","-0.95%"
"Nov 29, 2016","177.04","178.52","178.58","176.56","54.46K","-0.96%"
"Nov 28, 2016","178.76","177.76","179.14","177.06","43.21K","1.13%"
"Nov 25, 2016","176.76","176.10","177.66","175.66","34.90K","0.43%"
"Nov 24, 2016","176.00","176.80","177.74","175.74","36.00K","-0.05%"
"Nov 23, 2016","176.08","177.16","178.34","174.50","80.96K","-0.78%"
"Nov 22, 2016","177.46","176.20","178.38","176.20","46.16K","0.57%"
"Nov 21, 2016","176.46","176.84","177.00","175.28","33.14K","0.01%"
"Nov 18, 2016","176.44","174.70","177.68","174.44","55.95K","-0.09%"
"Nov 17, 2016","176.60","176.30","177.62","175.50","51.92K","0.58%"
"Nov 16, 2016","175.58","175.22","176.30","173.86","47.55K","-0.17%"
"Nov 15, 2016","175.88","174.64","176.34","174.60","54.45K","1.28%"
"Nov 14, 2016","173.66","173.50","175.24","170.90","68.95K","-0.71%"
"Nov 11, 2016","174.90","175.74","175.74","173.34","48.28K","-0.47%"
"Nov 10, 2016","175.72","177.54","177.98","173.96","79.36K","-2.41%"
"Nov 09, 2016","180.06","180.94","183.38","176.68","87.54K","-0.01%"
"Nov 08, 2016","180.08","181.12","181.76","179.44","38.54K","-0.72%"
"Nov 07, 2016","181.38","180.44","181.64","180.10","41.55K","-0.32%"
"Nov 04, 2016","181.96","180.16","182.38","180.16","49.63K","0.91%"
