"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 28, 2020","176.94","176.63","176.90","176.55","0.02K","0.27%"
"Apr 27, 2020","176.47","176.71","176.82","176.15","0.04K","0.15%"
"Apr 24, 2020","176.21","176.03","176.43","175.78","0.05K","0.22%"
"Apr 23, 2020","175.83","175.60","176.04","174.84","0.08K","0.15%"
"Apr 22, 2020","175.56","176.11","176.29","175.17","0.07K","-0.64%"
"Apr 21, 2020","176.69","176.68","176.91","176.63","0.07K","-0.06%"
"Apr 20, 2020","176.80","176.63","177.15","176.63","0.10K","-0.14%"
"Apr 17, 2020","177.05","176.85","177.15","176.72","0.06K","0.02%"
"Apr 16, 2020","177.01","175.90","177.07","175.72","0.08K","0.44%"
"Apr 15, 2020","176.23","175.43","176.29","175.32","0.12K","0.54%"
"Apr 14, 2020","175.28","174.40","175.25","173.85","0.03K","0.44%"
"Apr 09, 2020","174.51","173.30","174.59","173.30","0.06K","0.35%"
"Apr 08, 2020","173.91","173.81","174.59","173.10","0.13K","0.18%"
"Apr 07, 2020","173.60","174.01","174.20","173.52","0.13K","-0.43%"
"Apr 06, 2020","174.35","174.43","174.71","174.17","0.09K","-0.35%"
"Apr 03, 2020","174.96","174.40","175.04","174.40","0.08K","0.32%"
"Apr 02, 2020","174.40","174.52","174.95","174.12","0.02K","-0.34%"
"Apr 01, 2020","175.00","175.40","175.40","175.02","0.03K","0.07%"
"Mar 31, 2020","174.88","175.02","175.23","174.45","0.13K","-0.33%"
"Mar 30, 2020","175.46","175.00","175.75","174.99","0.04K","0.51%"
"Mar 27, 2020","174.57","174.20","175.00","174.00","0.04K","0.26%"
"Mar 26, 2020","174.12","173.50","174.14","173.32","0.09K","0.45%"
"Mar 25, 2020","173.34","173.75","174.23","173.12","0.23K","-0.22%"
"Mar 24, 2020","173.73","174.01","174.01","173.56","0.05K","-0.55%"
"Mar 23, 2020","174.69","174.70","175.19","174.63","0.22K","-0.06%"
"Mar 20, 2020","174.80","174.13","174.89","174.13","0.22K","0.85%"
"Mar 19, 2020","173.33","175.04","175.48","173.06","0.10K","-0.64%"
"Mar 18, 2020","174.45","176.00","176.00","174.45","0.27K","-1.56%"
"Mar 17, 2020","177.21","174.70","184.00","174.70","0.30K","0.60%"
"Mar 16, 2020","176.15","176.90","177.48","175.78","0.16K","-0.73%"
"Mar 13, 2020","177.44","181.04","181.22","177.29","0.25K","-2.33%"
"Mar 12, 2020","181.67","182.10","182.39","181.47","0.24K","-0.24%"
"Mar 11, 2020","182.11","183.89","183.89","181.82","0.34K","-0.90%"
"Mar 10, 2020","183.76","186.02","186.03","183.17","0.39K","-1.84%"
"Mar 09, 2020","187.20","186.24","188.15","186.24","0.27K","15.97%"
"Mar 06, 2020","161.42","161.00","161.00","160.85","0.01K","0.22%"
"Mar 05, 2020","161.06","160.32","162.03","160.10","0.54K","0.40%"
"Mar 04, 2020","160.42","160.20","160.97","160.07","1.28K","0.24%"
"Mar 03, 2020","160.04","161.51","161.51","159.97","1.47K","-1.03%"
"Mar 02, 2020","161.70","161.63","162.39","161.35","0.61K","0.00%"
"Feb 28, 2020","161.70","161.58","162.18","161.23","0.34K","0.19%"
"Feb 27, 2020","161.40","161.01","161.55","160.99","0.08K","0.32%"
"Feb 26, 2020","160.89","161.17","161.35","160.85","0.12K","-0.18%"
"Feb 25, 2020","161.18","161.10","161.60","160.94","0.08K","0.07%"
"Feb 24, 2020","161.07","161.06","161.30","160.99","0.08K","0.32%"
"Feb 21, 2020","160.56","160.85","160.95","160.54","0.06K","-0.04%"
"Feb 20, 2020","160.63","160.00","160.75","160.00","0.11K","0.38%"
"Feb 19, 2020","160.02","159.59","160.10","159.54","0.08K","0.24%"
"Feb 18, 2020","159.63","160.34","160.41","159.50","0.20K","-0.23%"
"Feb 17, 2020","160.00","160.33","160.72","159.98","0.12K","-0.34%"
"Feb 14, 2020","160.54","159.85","160.57","159.69","0.15K","0.44%"
"Feb 13, 2020","159.83","160.02","160.36","159.77","0.14K","0.11%"
"Feb 12, 2020","159.65","159.50","159.83","159.44","0.08K","-0.09%"
"Feb 11, 2020","159.79","159.75","160.02","159.75","0.09K","-0.11%"
"Feb 10, 2020","159.97","159.62","159.98","159.54","0.05K","0.26%"
"Feb 07, 2020","159.55","159.79","159.89","159.51","0.08K","0.00%"
"Feb 06, 2020","159.55","159.47","159.70","159.38","0.18K","-0.02%"
"Feb 05, 2020","159.58","160.04","160.11","159.39","0.11K","-0.20%"
"Feb 04, 2020","159.90","160.35","160.35","159.81","0.09K","-0.21%"
"Feb 03, 2020","160.23","160.31","160.45","160.07","0.16K","-0.07%"
"Jan 31, 2020","160.34","160.30","160.44","160.03","0.10K","0.01%"
"Jan 30, 2020","160.33","160.44","160.62","160.14","0.06K","0.12%"
"Jan 29, 2020","160.14","160.10","160.34","160.00","0.14K","0.05%"
"Jan 28, 2020","160.06","160.50","160.74","159.96","0.24K","-0.28%"
"Jan 27, 2020","160.51","160.07","160.56","160.00","0.11K","0.31%"
"Jan 24, 2020","160.02","159.62","160.05","159.62","0.15K","0.16%"
"Jan 23, 2020","159.76","159.42","159.79","159.18","0.08K","0.31%"
"Jan 22, 2020","159.26","159.04","159.37","158.95","0.10K","0.05%"
"Jan 21, 2020","159.18","158.75","159.20","158.58","0.14K","0.32%"
"Jan 20, 2020","158.68","158.72","158.74","158.48","0.05K","0.05%"
"Jan 17, 2020","158.60","158.76","158.89","158.56","0.09K","-0.13%"
"Jan 16, 2020","158.80","158.06","158.85","158.05","0.16K","0.29%"
"Jan 15, 2020","158.34","158.05","158.41","158.03","0.13K","0.36%"
"Jan 14, 2020","157.77","157.71","157.88","157.70","0.07K","0.01%"
"Jan 13, 2020","157.75","158.08","158.18","157.67","0.05K","-0.25%"
"Jan 10, 2020","158.15","157.89","158.20","157.77","0.12K","0.24%"
"Jan 09, 2020","157.77","157.43","157.87","157.29","0.31K","-0.14%"
"Jan 08, 2020","157.99","158.37","158.38","157.87","0.10K","-0.13%"
"Jan 07, 2020","158.19","158.13","158.35","157.98","0.14K","-0.05%"
"Jan 06, 2020","158.27","158.02","158.42","158.02","0.08K","0.16%"
