"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 23, 2018","144.06","143.06","144.25","142.75","475.36K","0.66%"
"Feb 22, 2018","143.12","142.72","143.59","142.66","515.87K","0.30%"
"Feb 21, 2018","142.69","143.91","144.19","142.44","373.94K","-0.83%"
"Feb 20, 2018","143.88","144.19","144.47","143.44","326.06K","-0.12%"
"Feb 19, 2018","144.06","144.34","144.34","143.97","-","-0.19%"
"Feb 18, 2018","144.34","144.22","144.47","144.16","-","0.08%"
"Feb 16, 2018","144.22","143.62","144.84","143.56","304.62K","0.15%"
"Feb 15, 2018","144.00","143.56","144.34","143.12","355.15K","0.43%"
"Feb 14, 2018","143.38","144.78","145.28","143.22","442.76K","-0.82%"
"Feb 13, 2018","144.56","144.25","144.94","144.19","264.03K","0.10%"
"Feb 12, 2018","144.41","143.72","145.19","143.12","417.21K","0.17%"
"Feb 09, 2018","144.16","144.16","144.78","143.59","616.91K","0.05%"
"Feb 08, 2018","144.09","144.66","144.97","143.62","700.98K","-0.37%"
"Feb 07, 2018","144.62","145.56","146.38","144.34","483.89K","-0.97%"
"Feb 06, 2018","146.03","146.91","147.72","145.47","678.35K","0.23%"
"Feb 05, 2018","145.69","144.94","147.50","144.09","734.44K","0.63%"
"Feb 02, 2018","144.78","146.19","146.38","144.75","561.88K","-1.21%"
"Feb 01, 2018","146.56","148.03","148.06","146.09","468.34K","-0.85%"
"Jan 31, 2018","147.81","147.44","148.19","147.09","518.39K","0.29%"
"Jan 30, 2018","147.38","148.06","148.34","147.12","391.46K","-0.50%"
"Jan 29, 2018","148.12","148.75","148.91","147.56","317.67K","-0.42%"
"Jan 26, 2018","148.75","149.38","149.47","148.47","286.11K","-0.44%"
"Jan 25, 2018","149.41","148.66","149.50","148.34","391.87K","0.63%"
"Jan 24, 2018","148.47","149.38","149.50","148.22","363.67K","-0.50%"
"Jan 23, 2018","149.22","148.88","149.69","148.78","285.71K","0.36%"
"Jan 22, 2018","148.69","148.91","149.28","148.38","235.62K","-0.21%"
"Jan 19, 2018","149.00","149.16","149.38","148.53","359.08K","-0.29%"
"Jan 18, 2018","149.44","150.12","150.25","149.09","377.87K","-0.58%"
"Jan 17, 2018","150.31","150.88","151.19","150.09","306.02K","-0.33%"
"Jan 16, 2018","150.81","150.50","151.03","150.31","270.91K","0.25%"
"Jan 15, 2018","150.44","150.53","150.66","150.31","-","-0.04%"
"Jan 14, 2018","150.50","150.53","150.56","150.41","-","0.00%"
